Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 1000.00 1400.00 99.574887 49.0438 0.702808 14.9831 1.78998 0 6.87311 0.183341 9.28929 0 0 11.9885 1.81304 0.621323 0.101856 2.60993
2 7000.00 1397.00 99.986174 48.842 0.699917 14.9214 1.4574 0 7.13747 0.182587 9.25108 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
2 10000.00 1397.00 99.972650 48.8487 0.700012 14.9234 1.32259 0 7.25992 0.182612 9.25233 0 0 11.9408 1.80583 0.618851 0.101451 3.04353
3 7000.00 1394.00 99.986169 48.8421 0.699917 14.9214 1.45736 0 7.13751 0.182587 9.25108 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
3 4000.00 1394.00 100.001369 48.8346 0.699811 14.9192 1.60884 0 6.99991 0.182559 9.24967 0 0 11.9374 1.80531 0.618673 0.101422 3.04266
4 7000.00 1391.00 99.986166 48.8421 0.699917 14.9214 1.45732 0 7.13754 0.182587 9.25108 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
4 10000.00 1391.00 99.972615 48.8487 0.700012 14.9234 1.32224 0 7.26024 0.182612 9.25233 0 0 11.9408 1.80583 0.618851 0.101451 3.04353
2 1000.00 1397.00 99.576711 49.0429 0.702795 14.9828 1.79024 0 6.87272 0.183338 9.28912 0 0 11.9883 1.81301 0.621312 0.101854 2.61168
5 7000.00 1388.00 99.986164 48.8421 0.699917 14.9214 1.4573 0 7.13756 0.182587 9.25108 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
5 10000.00 1388.00 99.972599 48.8487 0.700012 14.9234 1.32208 0 7.26038 0.182612 9.25234 0 0 11.9408 1.80583 0.618851 0.101451 3.04353
6 7000.00 1385.00 99.986163 48.8421 0.699917 14.9214 1.4573 0 7.13756 0.182587 9.25108 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
6 4000.00 1385.00 100.001414 48.8346 0.699811 14.9191 1.6093 0 6.9995 0.182559 9.24967 0 0 11.9373 1.80531 0.618673 0.101422 3.0426553
7 7000.00 1382.00 99.986164 48.8421 0.699917 14.9214 1.4573 0 7.13756 0.182587 9.25108 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
