System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
1 1000.00 1400.00 100.018752 0.9955621826383351 0.921174 -1198763.996108 311.540914 45.087578 156.047580 -4059.177652 8170.025014 -5.540 0.000 2.397460 0.124889 0.907 n/a n/a
2 7000.00 1397.00 99.986174 1.0000000000000000 1.000000 -1180107.343919 307.754885 39.270990 155.458234 -319.313298 4829.730484 -5.567 0.000 2.546057 0.000000 0.822 n/a n/a
2 4000.00 1397.00 100.001356 1.0000000000000000 1.000000 -1189709.002597 309.322035 40.515740 155.678211 -507.796891 5421.126608 -5.567 0.000 2.468210 0.000000 0.822 n/a n/a
3 7000.00 1394.00 99.986169 1.0000000000000000 1.000000 -1180573.642800 307.475389 39.256498 155.449324 -318.901584 4829.108473 -5.594 0.000 2.546997 0.000000 0.831 n/a n/a
3 4000.00 1394.00 100.001369 1.0000000000000000 1.000000 -1190176.190602 309.042184 40.499489 155.672158 -507.039539 5420.031103 -5.594 0.000 2.469201 0.000000 0.831 n/a n/a
4 7000.00 1391.00 99.986166 1.0000000000000000 1.000000 -1181039.932583 307.195409 39.242008 155.440442 -318.490366 4828.468968 -5.621 0.000 2.547937 0.000000 0.840 n/a n/a
4 10000.00 1391.00 99.972615 1.0000000000000000 1.000000 -1171542.781461 305.759714 38.511965 155.303246 -166.810101 4582.987652 -5.621 0.000 2.595885 0.000000 0.840 n/a n/a
2 1000.00 1397.00 100.018781 0.9955801304513900 0.921590 -1199233.258836 311.260508 45.052255 156.044540 -4038.413143 8163.148733 -5.567 0.000 2.398300 0.125142 0.916 n/a n/a
5 7000.00 1388.00 99.986164 1.0000000000000000 1.000000 -1181506.213525 306.914943 39.227522 155.431591 -318.079646 4827.811974 -5.648 0.000 2.548878 0.000000 0.849 n/a n/a
5 10000.00 1388.00 99.972599 1.0000000000000000 1.000000 -1172008.461434 305.479466 38.498204 155.291430 -166.745226 4582.802150 -5.648 0.000 2.596812 0.000000 0.849 n/a n/a
6 7000.00 1385.00 99.986163 1.0000000000000000 1.000000 -1181972.485885 306.633990 39.213039 155.422769 -317.669425 4827.137495 -5.675 0.000 2.549819 0.000000 0.857 n/a n/a
6 4000.00 1385.00 100.001414 1.0000000000000000 1.000000 -1191577.768004 308.199686 40.450764 155.654118 -504.770497 5416.639025 -5.675 0.000 2.472176 0.000000 0.857 n/a n/a
7 7000.00 1382.00 99.986164 1.0000000000000000 1.000000 -1182438.749925 306.352547 39.198560 155.413978 -317.259702 4826.445536 -5.702 0.000 2.550761 0.000000 0.866 n/a n/a
7 4000.00 1382.00 100.001433 1.0000000000000000 1.000000 -1192044.965784 307.917865 40.434532 155.648144 -504.015157 5415.473157 -5.702 0.000 2.473169 0.000000 0.866 n/a n/a
